index,hot,title,href
1,2.0万,大厂产品专家手把手教你系列（13）：如何写好周报（附模版）,https://coffee.pmcaff.com/article/G2QdolJ2LZ
2,1.8万,一文了解从0到1设计会员产品,https://coffee.pmcaff.com/article/oDLm49AAkO
3,2.0万,1个Prompt框架+4个公式，讲清产品经理如何用ChatGPT让工作效率翻倍,https://coffee.pmcaff.com/article/Oak7N0vyBJ
4,,50元 | 完成一张高保真原型图设计,https://coffee.pmcaff.com/article/3042
5,1.7万,一文讲清产品设计中的文案表达,https://coffee.pmcaff.com/article/EeLGpZ2VQy
6,15.1万,【万字长文】BIM在家装领域的应用与实践,https://coffee.pmcaff.com/article/xvQ3wo1aQW
7,16.5万,2万字 | 全面剖析需求的挖掘与分析（建议收藏）,https://coffee.pmcaff.com/article/qVkVgeW7LO
8,15.9万,PRD里面，一个完整的功能模块需求，应该怎么写？,https://coffee.pmcaff.com/article/qVkVge3eLO
9,16.1万,最重要的两种思维：逻辑思维与结构化思维,https://coffee.pmcaff.com/article/Oak7Nye3BJ
10,21.9万,1.5万字讲清楚从0到1搭建电商营销中心（建议收藏）,https://coffee.pmcaff.com/article/G2Qdo2ngLZ
11,23.2万,1.5万字深度雄文：这才是实际工作中的竞品分析,https://coffee.pmcaff.com/article/gjkyM3N5kM
12,20.4万,B端产品设计流程--如何进行产品架构设计（下）,https://coffee.pmcaff.com/article/a1LR8Vo8BZ
13,19.7万,【6000字长文】需求评审总是被怼？强烈推荐你试试这三招,https://coffee.pmcaff.com/article/pNBlm78mkA
14,20.8万,万字长文 | 十个模型，总结产品经理沟通方法论,https://coffee.pmcaff.com/article/j5L4wzK8kg
15,21.0万,原型绘制提效技巧分享,https://coffee.pmcaff.com/article/a1LR8D9xBZ
16,21.4万,向阅读致敬！微信读书产品设计策略推导,https://coffee.pmcaff.com/article/rPLDwR7RkY
